,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
3517,0.0,0.0,63435736.14649614,0.05848990482815922,0.0,0.0,11357123.089223338,0.005597173610733454,88466585.10031933,0.0797154423971217,710400000.0,0.0
3518,0.0,0.0,53991409.22519715,0.041131592317383,1203664.0756628849,0.0017798334775481145,875731.117912706,0.0003949197816841168,67328090.2272101,0.04989366182383819,710400000.0,0.0
3519,0.0,0.0,49154824.68153747,0.04051282478667837,21991212.202261094,0.03496076542576393,7447211.282508261,0.003182307510742554,24965892.306628406,0.02028145410219853,710400000.0,0.0
3520,0.0,0.0,41905120.56415088,0.04092093368827052,18667836.838382587,0.03500781274622314,48713719.531548426,0.022554297806893296,340811514.03954315,0.31110900796452284,710400000.0,0.0
3521,0.0,0.0,23109015.510865454,0.026555600232963633,16603280.976510983,0.03597745047284018,45741841.93642608,0.024706494003062344,78271432.85479024,0.08535065304828948,710400000.0,0.0
3522,0.0,0.0,19619016.525302645,0.02599103423781711,37305859.09385595,0.09277302524155279,3625784.489242505,0.002695742688324986,63112030.381711684,0.0797837446521219,710400000.0,0.0
3523,109864368.52390608,0.06024858355496495,20944464.74965909,0.0173158100914281,5374454.372708654,0.00840999955491877,8290123.292694423,0.0036434357470437628,6729175.71228705,0.00535649361548528,710400000.0,0.0
3524,0.0,0.0,32222874.083940543,0.034440305813813306,48852273.72521612,0.09830132906952219,9977704.780497355,0.00559231374221027,78673892.0801039,0.0807200176728008,710400000.0,0.0
3525,0.0,0.0,25868514.277126506,0.025558799372979273,49028333.43263531,0.09081651991935684,57882981.75154856,0.02526343541799394,20861713.9883701,0.01995756474347103,710400000.0,0.0
3526,0.0,0.0,8879387.635604383,0.01043358955219991,16681433.418049892,0.036279756279075155,112645363.86803329,0.05353096944947601,37694168.159436636,0.041615782571424745,710400000.0,0.0
3527,3896277.9697389444,0.0032249386520797523,87742147.40288472,0.10506849736214932,26599617.95116613,0.06264871619392044,2428468.936935796,0.0017904024340893738,73962966.94377008,0.08814717235704446,710400000.0,0.0
